,Num,Dnum,ROICoarseness,ROIContrast,ROIBusyness,ROIComplexity,ROIStrength,LLLCoarseness,LLLContrast,LLLBusyness,LLLComplexity,LLLStrength,LLHCoarseness,LLHContrast,LLHBusyness,LLHComplexity,LLHStrength,LHLCoarseness,LHLContrast,LHLBusyness,LHLComplexity,LHLStrength,LHHCoarseness,LHHContrast,LHHBusyness,LHHComplexity,LHHStrength,HLLCoarseness,HLLContrast,HLLBusyness,HLLComplexity,HLLStrength,HLHCoarseness,HLHContrast,HLHBusyness,HLHComplexity,HLHStrength,HHLCoarseness,HHLContrast,HHLBusyness,HHLComplexity,HHLStrength,HHHCoarseness,HHHContrast,HHHBusyness,HHHComplexity,HHHStrength
0,1,1,0.007193,0.392147,0.018165,37929.75848,37.408145,0.010108,0.315704,0.013602,27598.696261,50.88953,0.005856,0.487521,0.019729,46801.75954,25.409712,0.004929,0.619442,0.021731,67171.010701,22.834631,0.004504,0.787083,0.025939,77960.674479,19.367534,0.004467,0.657669,0.026978,64946.986719,18.581188,0.004099,0.827796,0.029795,82450.419388,17.581034,0.003932,0.813305,0.030299,77952.681686,16.249888,0.003793,0.937524,0.033242,86179.969734,15.080259
1,2,3,0.000514,0.34328,0.256381,39740.294731,2.8914,0.000771,0.200829,0.156448,26486.219959,4.334709,0.000384,0.433656,0.270543,57976.183226,1.861306,0.000332,0.397061,0.287325,63497.260397,1.665627,0.000299,0.449726,0.329446,75426.305361,1.403148,0.000316,0.504776,0.325893,70009.458687,1.522838,0.000289,0.571461,0.361868,81813.840729,1.301668,0.000276,0.611257,0.384553,86257.957271,1.239211,0.000264,0.682007,0.406724,92286.652499,1.157692
2,3,4,0.003099,0.434235,0.034763,54598.256687,16.282926,0.004343,0.319199,0.025515,38465.417514,21.843599,0.002918,0.496255,0.037906,57977.197792,14.05249,0.002394,0.601282,0.048472,72258.839223,11.016202,0.002237,0.671377,0.050265,81100.114742,9.886324,0.002286,0.691012,0.050267,77763.278279,9.919945,0.002197,0.768579,0.051247,89414.015778,9.499246,0.002077,0.797864,0.056679,90214.425676,9.019107,0.002066,0.828817,0.05534,98072.302365,9.048923
3,4,5,0.001062,0.237655,0.108745,38162.93668,6.540733,0.001595,0.156623,0.069981,26210.420045,9.562985,0.000824,0.379281,0.120468,56481.225735,4.039132,0.000688,0.309384,0.132943,60791.312631,3.738562,0.000634,0.414961,0.152648,72826.547302,3.101185,0.000637,0.534841,0.164,74810.686622,3.063771,0.000597,0.590428,0.177146,84001.817837,2.729652,0.000592,0.617852,0.179068,87048.43666,2.638978,0.000561,0.667637,0.190441,91955.279211,2.489799
4,5,6,0.000389,0.361938,0.273532,34281.810488,2.055735,0.000592,0.259738,0.163798,26345.631495,3.379998,0.00027,0.43979,0.403211,57880.571796,1.302506,0.000222,0.431332,0.463807,69214.293071,1.095955,0.000196,0.63638,0.555295,85470.103206,0.880759,0.000216,0.504784,0.48415,72032.13713,1.041263,0.000197,0.577144,0.534009,83505.043957,0.895429,0.000187,0.695825,0.587231,91166.565212,0.827155,0.00018,0.705368,0.608231,94841.140106,0.79553
5,6,7,0.000663,0.275641,0.166873,43547.902612,3.952961,0.000946,0.19263,0.117346,30833.698213,5.553694,0.000567,0.420001,0.181454,59084.325442,2.776767,0.00049,0.497734,0.209747,69749.114184,2.351889,0.000429,0.641866,0.255396,85491.637661,1.923561,0.000475,0.436345,0.209655,70421.299649,2.326182,0.000432,0.517485,0.235762,81469.613898,1.997879,0.00042,0.646641,0.256928,86296.07144,1.881391,0.000404,0.6319,0.260946,91013.121881,1.795928
6,7,8,0.000191,0.312865,0.657103,37978.592812,1.070342,0.000286,0.208578,0.443005,25196.74695,1.614496,0.000132,0.461393,0.820442,60096.493654,0.626716,0.00011,0.524379,0.975163,72714.624517,0.515076,9.9e-05,0.653569,1.106573,85238.435559,0.436785,0.000105,0.589257,1.03709,77372.107928,0.485069,9.8e-05,0.634617,1.109144,85514.538716,0.435186,9.4e-05,0.698459,1.179722,91119.181959,0.411606,9e-05,0.731973,1.222705,95255.772018,0.39233
7,8,9,0.000924,0.499381,0.134398,53484.3688,4.683945,0.001335,0.346021,0.093377,36372.860774,6.844437,0.000802,0.572909,0.146366,68063.681703,3.788666,0.000685,0.676336,0.168248,80746.782476,3.156455,0.000631,0.722559,0.180337,90247.315151,2.800356,0.000688,0.605928,0.157586,79086.528229,3.198203,0.000641,0.703505,0.174125,89067.74984,2.823947,0.000605,0.770456,0.187393,95298.415899,2.663316,0.000591,0.796795,0.190922,97728.853352,2.565448
8,9,10,0.000602,0.307058,0.206077,40558.858455,3.360656,0.000864,0.234246,0.154795,30229.744901,4.947215,0.000528,0.436918,0.19541,57824.843063,2.567992,0.00043,0.527821,0.239375,73172.652305,2.009089,0.000389,0.602442,0.275395,83472.591482,1.752998,0.000425,0.514039,0.240058,72692.577596,2.013365,0.000394,0.515826,0.261484,79753.71452,1.827173,0.000373,0.584163,0.281105,86418.5372,1.696193,0.000365,0.538616,0.278119,86975.270576,1.675477
9,10,11,0.000166,0.298728,0.740583,36110.862425,0.933472,0.000253,0.195145,0.482852,23348.499017,1.444827,0.00011,0.453026,0.967732,59601.81922,0.52197,9.2e-05,0.498272,1.125382,71872.469016,0.430139,8.4e-05,0.618959,1.288775,83777.483827,0.367221,8.9e-05,0.553601,1.191585,74674.675343,0.414542,8.2e-05,0.62811,1.318909,85298.889098,0.362079,8e-05,0.635034,1.336258,87308.63247,0.352428,7.6e-05,0.693132,1.419137,93393.514592,0.330819
10,11,12,0.000629,0.278731,0.183695,36098.74416,3.395012,0.000949,0.195393,0.124071,24116.892541,5.067804,0.000418,0.392179,0.247896,55962.395863,2.036969,0.00036,0.332797,0.259951,60705.166132,1.863178,0.000316,0.472969,0.317793,75737.742937,1.48625,0.000319,0.480838,0.318234,74023.65561,1.546678,0.000305,0.516527,0.332406,80843.107753,1.401885,0.000302,0.503223,0.331504,80879.232946,1.395005,0.000287,0.52964,0.352902,86050.09539,1.319698
11,12,14,0.001565,0.35618,0.076384,44383.95368,10.274861,0.002228,0.250804,0.049759,31695.254657,14.420981,0.001222,0.400335,0.075416,69239.155545,6.332438,0.001324,0.317298,0.069758,60353.804184,7.252393,0.001123,0.398922,0.084372,74086.437585,5.517351,0.001308,0.315041,0.070902,59512.327976,6.780677,0.001101,0.547328,0.091168,83926.933247,5.087705,0.001155,0.499673,0.086106,79829.395127,5.297194,0.001064,0.642184,0.100286,90392.458405,4.629901
12,13,15,0.001861,0.52655,0.067451,59037.86123,9.917236,0.002767,0.310314,0.041574,36635.906486,14.529703,0.001361,0.659427,0.080347,84525.324595,6.428371,0.001544,0.502234,0.063691,72595.505049,7.473601,0.001349,0.531276,0.075504,82353.434348,6.241691,0.00148,0.386435,0.065469,70615.82153,7.605164,0.001263,0.705526,0.086684,96312.243248,5.709692,0.001321,0.661603,0.080593,92658.024966,6.037245,0.00122,0.804775,0.092977,101530.124178,5.36065
13,14,16,0.002033,0.409811,0.055426,44417.841058,10.839958,0.002431,0.320278,0.043933,37194.488656,13.342332,0.001259,0.631039,0.087957,80464.661608,5.803569,0.001173,0.592998,0.093584,83926.464062,5.566132,0.001083,0.711386,0.10189,94535.996969,4.893748,0.001203,0.614552,0.090527,82206.848019,5.581725,0.001102,0.697277,0.098319,95517.003087,5.002429,0.001116,0.622531,0.092139,92193.281209,5.118126,0.001063,0.625628,0.100563,92182.316515,4.779537
14,15,17,0.001343,0.433961,0.094707,55219.842649,7.417898,0.001583,0.349113,0.079666,46478.255298,9.235974,0.001036,0.556573,0.099401,84961.146217,5.133063,0.001046,0.51861,0.0993,81790.568449,5.115259,0.000983,0.658001,0.107198,95625.624018,4.546534,0.001033,0.576143,0.1023,85632.529658,4.994107,0.000951,0.744867,0.115404,100977.781421,4.368406,0.000952,0.647828,0.114236,93043.63216,4.323804,0.000944,0.642677,0.113323,98826.695587,4.444023
15,16,18,0.000508,0.441257,0.227274,52566.589697,2.745162,0.000762,0.295461,0.154845,34087.475688,4.091661,0.000347,0.550587,0.303994,81344.797241,1.641553,0.000372,0.60214,0.303221,78288.893969,1.720663,0.000316,0.629398,0.335912,91626.071985,1.448647,0.000352,0.636704,0.317381,83001.650064,1.612318,0.000314,0.708306,0.346644,95515.888096,1.393861,0.000319,0.719254,0.34589,94160.932204,1.415246,0.000306,0.735743,0.35782,98475.490109,1.350661
16,17,19,0.000929,0.452315,0.156536,47096.009629,5.192981,0.001114,0.339587,0.125587,37166.777637,6.341283,0.000586,0.613775,0.183441,81408.354136,2.746146,0.000592,0.573022,0.179489,80910.473848,2.748712,0.000529,0.684095,0.202611,93692.414755,2.376141,0.000596,0.593402,0.180776,80388.925731,2.760859,0.000537,0.648195,0.197948,92198.720473,2.418658,0.000537,0.564656,0.189357,88779.811412,2.49556,0.00051,0.493219,0.19457,89782.383504,2.486192
17,18,20,0.014597,1.122716,0.014577,45708.715743,58.264398,0.019618,0.86953,0.009562,38725.843844,88.83688,0.010648,1.547909,0.01557,68519.269773,37.790132,0.011578,1.147476,0.013218,58110.660662,40.559848,0.009995,1.581618,0.019055,64994.308256,31.347714,0.010552,1.31296,0.015886,56403.922856,35.598713,0.01024,1.396556,0.015748,67987.537127,33.340318,0.010951,1.316028,0.01452,67598.171121,37.198854,0.009185,1.946105,0.016889,88352.710078,35.841334
18,19,21,0.002934,0.43556,0.042947,55810.927013,16.080608,0.004226,0.290234,0.030097,32437.837233,20.171306,0.002509,0.543664,0.039791,72838.861405,12.310522,0.002657,0.437092,0.038173,60778.04669,12.680791,0.002283,0.629788,0.046545,84454.155876,10.03593,0.002465,0.559741,0.043893,74350.801683,11.157536,0.002156,0.719054,0.051365,91577.974526,9.334326,0.002233,0.651212,0.050001,82964.456258,9.742671,0.002039,0.880166,0.058076,95779.301419,8.668232
19,20,22,0.000296,0.414068,0.398462,52358.686354,1.584232,0.000432,0.280305,0.268136,35533.974488,2.336682,0.000208,0.559169,0.501633,79576.710179,0.992824,0.000224,0.531265,0.466217,74815.229792,1.055631,0.000187,0.694684,0.591115,94094.075719,0.840661,0.000211,0.60616,0.509354,81319.94657,0.966416,0.000187,0.657457,0.578944,93501.677685,0.841112,0.00019,0.725842,0.584404,93761.4391,0.839961,0.000178,0.753261,0.623735,100177.108293,0.791085
20,21,25,0.00033,0.359251,0.397483,40912.934388,1.800068,0.000468,0.232524,0.267871,28138.741175,2.638905,0.00019,0.484311,0.538076,72572.935581,0.907789,0.0002,0.527537,0.529335,70845.577295,0.93092,0.000168,0.615383,0.629554,87755.536728,0.749631,0.000192,0.534707,0.547684,74411.740781,0.882762,0.000169,0.564206,0.608809,86313.072938,0.756715,0.000172,0.603339,0.610174,85955.099008,0.763048,0.000161,0.674358,0.66486,93847.566953,0.700735
21,22,26,0.001638,0.313818,0.065418,50974.012721,9.282028,0.002385,0.259253,0.050907,34505.974915,12.905331,0.001196,0.698377,0.09619,86967.627665,5.463478,0.001406,0.431622,0.070867,69445.407407,7.02885,0.001177,0.625146,0.089275,89198.399128,5.375425,0.001358,0.334402,0.069907,62306.120398,6.924715,0.001115,0.774924,0.097859,97960.515218,4.952383,0.00126,0.533331,0.080177,82082.785813,5.764732,0.001133,0.754438,0.09776,97167.071101,4.939411
22,23,27,0.000234,0.399581,0.538032,49618.786653,1.284235,0.000341,0.272575,0.368772,33805.066689,1.885843,0.000158,0.570643,0.675746,79842.029985,0.744784,0.000166,0.569516,0.648884,76639.627997,0.776747,0.00014,0.710287,0.78823,94662.712044,0.627507,0.000162,0.559316,0.655448,78330.896499,0.754594,0.00014,0.696288,0.775146,94799.717523,0.623434,0.000146,0.669252,0.746654,90694.784132,0.649563,0.000134,0.765044,0.825437,100115.463161,0.59319
23,24,28,0.002174,0.453062,0.066485,47913.515067,11.805858,0.003552,0.288212,0.04236,27801.037815,18.162628,0.001325,0.687917,0.082279,88169.840613,6.150549,0.00146,0.544476,0.07142,80591.160795,6.905029,0.001253,0.783307,0.089145,100552.388304,5.614571,0.001413,0.463301,0.071871,77227.998724,6.913892,0.001252,0.645809,0.084605,93681.542066,5.746931,0.001386,0.543458,0.074126,81758.460451,6.225808,0.001228,0.762636,0.090301,98565.162078,5.442742
24,25,30,0.000294,0.39579,0.417644,47939.836574,1.585908,0.000428,0.268895,0.281794,32610.366674,2.344421,0.000193,0.587755,0.54958,78396.342709,0.894897,0.000205,0.582062,0.524559,74110.087212,0.944984,0.000172,0.666802,0.627761,90967.380743,0.766855,0.000194,0.605312,0.553712,79231.035913,0.879973,0.000172,0.698512,0.626974,92845.613144,0.748561,0.000176,0.703756,0.62389,91595.670631,0.762712,0.000168,0.735218,0.649756,96689.823265,0.720899
25,26,32,0.000635,0.231335,0.169237,39885.850572,3.970522,0.001004,0.152478,0.105308,27147.790869,6.025296,0.000409,0.373942,0.230204,72331.022788,2.160297,0.000454,0.35666,0.207208,64083.397728,2.398689,0.000377,0.548682,0.271884,88428.56503,1.773276,0.000444,0.34518,0.210953,65556.773763,2.358479,0.000383,0.480127,0.257619,84644.015536,1.828317,0.000406,0.463469,0.242137,79915.616103,1.930771,0.000376,0.565249,0.27066,90054.125701,1.725273
26,27,33,0.001005,0.391643,0.117842,39711.643835,5.201886,0.001447,0.302189,0.079277,28975.298704,7.606214,0.000589,0.519409,0.175925,76887.635952,2.893413,0.000624,0.558359,0.171187,74954.840971,2.987489,0.000519,0.713766,0.215482,94153.426031,2.35327,0.000591,0.637306,0.185042,80812.912494,2.718607,0.000513,0.723907,0.214698,96062.264323,2.29321,0.000525,0.749476,0.214209,94697.955643,2.326005,0.00049,0.73405,0.224547,99958.156775,2.218189
