,Num,Dnum,ROILDE,ROIHDE,ROILGLE,ROIHGLE,ROILDLGLE,ROILDHGLE,ROIHDLGLE,ROIHDHGLE,ROIdepGLN,ROIdepGLNN,ROIDN,ROIDNN,ROIdepGLV,ROIDV,ROIDEntropy,ROIDEnergy,LLLLDE,LLLHDE,LLLLGLE,LLLHGLE,LLLLDLGLE,LLLLDHGLE,LLLHDLGLE,LLLHDHGLE,LLLdepGLN,LLLdepGLNN,LLLDN,LLLDNN,LLLdepGLV,LLLDV,LLLDEntropy,LLLDEnergy,LLHLDE,LLHHDE,LLHLGLE,LLHHGLE,LLHLDLGLE,LLHLDHGLE,LLHHDLGLE,LLHHDHGLE,LLHdepGLN,LLHdepGLNN,LLHDN,LLHDNN,LLHdepGLV,LLHDV,LLHDEntropy,LLHDEnergy,LHLLDE,LHLHDE,LHLLGLE,LHLHGLE,LHLLDLGLE,LHLLDHGLE,LHLHDLGLE,LHLHDHGLE,LHLdepGLN,LHLdepGLNN,LHLDN,LHLDNN,LHLdepGLV,LHLDV,LHLDEntropy,LHLDEnergy,LHHLDE,LHHHDE,LHHLGLE,LHHHGLE,LHHLDLGLE,LHHLDHGLE,LHHHDLGLE,LHHHDHGLE,LHHdepGLN,LHHdepGLNN,LHHDN,LHHDNN,LHHdepGLV,LHHDV,LHHDEntropy,LHHDEnergy,HLLLDE,HLLHDE,HLLLGLE,HLLHGLE,HLLLDLGLE,HLLLDHGLE,HLLHDLGLE,HLLHDHGLE,HLLdepGLN,HLLdepGLNN,HLLDN,HLLDNN,HLLdepGLV,HLLDV,HLLDEntropy,HLLDEnergy,HLHLDE,HLHHDE,HLHLGLE,HLHHGLE,HLHLDLGLE,HLHLDHGLE,HLHHDLGLE,HLHHDHGLE,HLHdepGLN,HLHdepGLNN,HLHDN,HLHDNN,HLHdepGLV,HLHDV,HLHDEntropy,HLHDEnergy,HHLLDE,HHLHDE,HHLLGLE,HHLHGLE,HHLLDLGLE,HHLLDHGLE,HHLHDLGLE,HHlHDHGLE,HHLdepGLN,HHLdepGLNN,HHLDN,HHLDNN,HHLdepGLV,HHLDV,HHLDEntropy,HHLDEnergy,HHHLDE,HHHHDE,HHHLGLE,HHHHGLE,HHHLDLGLE,HHHLDHGLE,HHHHDLGLE,HHHHDHGLE,HHHdepGLN,HHHdepGLNN,HHHDN,HHHDNN,HHHdepGLV,HHHDV,HHHDEntropy,HHHDEnergy
0,1,1,0.102848,68.508861,0.021304,74.539873,0.002761,9.960512,1.239932,4457.56519,204.216456,0.129251,112.993671,0.071515,5.87033,18.511431,6.805526,0.010627,0.075235,87.513924,0.023452,71.843038,0.002032,7.699956,1.656554,5583.951899,192.208861,0.121651,100.487342,0.0636,6.253543,22.1293,6.952995,0.009438,0.119395,45.610794,0.022119,80.444444,0.004735,10.299775,0.67924,3640.278095,213.32,0.135441,142.086984,0.090214,5.22324,11.497777,6.521835,0.012973,0.151389,41.636652,0.026433,80.71655,0.009799,12.899821,0.635268,3321.332911,216.953075,0.137573,147.291693,0.0934,5.664048,11.62682,6.413902,0.013839,0.167425,32.943361,0.022193,78.657646,0.005773,14.802707,0.5151,2466.88798,205.075519,0.129059,176.487728,0.111068,6.080972,9.552837,6.296181,0.015225,0.1507,35.761966,0.023648,76.356733,0.006895,11.848821,0.57147,2638.504786,218.537971,0.139463,162.793235,0.103888,4.998983,9.652279,6.296721,0.015689,0.211107,23.643401,0.025308,75.389594,0.009121,16.78206,0.404497,1665.931472,198.055838,0.12567,201.520305,0.127868,5.811131,6.465111,6.08863,0.017801,0.189126,26.068528,0.022628,79.385152,0.00823,15.622021,0.387097,2012.334391,207.072335,0.131391,190.215736,0.120695,5.344369,6.833402,6.0512,0.017981,0.230388,17.810879,0.021321,78.894371,0.008143,19.92371,0.277916,1328.631246,193.904491,0.122647,234.724225,0.148466,5.743732,4.301419,5.829893,0.020986
1,2,3,0.066919,95.803268,0.022691,71.755495,0.002164,5.717873,2.148115,5484.222953,3231.219413,0.125704,1590.81809,0.061887,6.285016,25.025461,7.293152,0.008018,0.042115,139.26906,0.01883,76.605093,0.001029,3.806012,2.742379,8618.985905,3350.642863,0.130467,1321.215482,0.051445,5.69062,34.093581,7.465439,0.006986,0.10278,51.451878,0.022945,78.111875,0.004511,8.401341,0.79937,3964.487554,3514.275683,0.137325,2241.59435,0.087593,5.324461,13.385615,6.68015,0.01218,0.108127,59.290227,0.022409,77.754638,0.005383,8.8054,0.863855,4512.648245,4101.078859,0.161542,1989.805373,0.078379,4.495685,16.351521,6.484274,0.013904,0.144816,42.591821,0.020488,76.477192,0.005587,12.18392,0.634594,3128.577153,3948.319465,0.155262,2330.970114,0.091662,4.35148,11.572659,6.203788,0.016572,0.120741,46.013826,0.022305,77.740277,0.005157,10.118126,0.705502,3476.618895,3610.853433,0.14143,2312.757001,0.090586,5.118584,12.131131,6.532713,0.013605,0.157284,34.283171,0.021523,77.230356,0.006294,13.182091,0.523387,2521.880921,3570.544777,0.139999,2666.449733,0.10455,4.99302,9.119007,6.212112,0.016593,0.155404,32.952592,0.021239,77.2935,0.006009,13.229198,0.504718,2426.983662,3490.354073,0.136753,2735.612075,0.107182,5.055156,8.546909,6.222938,0.016356,0.185812,27.462802,0.02171,77.40154,0.007611,15.755013,0.420501,2020.590563,3398.139919,0.132849,2980.257203,0.116512,5.256178,7.12633,6.062405,0.018044
2,3,4,0.110855,41.938158,0.024658,80.335197,0.005273,8.631603,0.675669,3364.522039,391.228947,0.128694,290.010526,0.095398,5.518388,9.328047,6.578575,0.013007,0.084998,59.689292,0.022931,79.472488,0.004034,6.638805,0.912757,4772.582867,384.022735,0.126531,241.130478,0.07945,5.455805,13.382051,6.83422,0.010854,0.134376,34.113226,0.023425,78.142107,0.005751,11.179414,0.546624,2646.067279,398.824746,0.130891,320.646209,0.105233,5.459068,7.601035,6.426151,0.014646,0.140862,32.265414,0.02123,76.832509,0.00545,12.054863,0.516158,2384.513353,395.077811,0.13026,331.47214,0.109289,5.217277,7.574377,6.342279,0.014908,0.189556,26.147941,0.021445,77.536738,0.00594,16.186972,0.408374,1948.491598,399.933114,0.131774,361.68402,0.119171,5.306341,6.744424,6.09701,0.017579,0.169076,28.822602,0.022341,78.467477,0.00731,13.77353,0.444137,2219.266426,388.111695,0.127501,344.410644,0.113144,5.45034,7.12243,6.286327,0.015518,0.205667,21.650492,0.02345,77.416066,0.00804,17.59063,0.348794,1586.101967,387.385574,0.127012,409.832787,0.134371,5.733472,5.524342,5.967225,0.019311,0.179053,23.484948,0.022323,78.129581,0.007379,15.087546,0.374328,1736.509162,379.852094,0.124297,399.604712,0.130761,5.601172,5.682954,6.111945,0.0175,0.227508,19.681283,0.021764,77.540903,0.008093,19.590596,0.316458,1423.535668,376.714005,0.12327,424.415576,0.138879,5.82949,4.958392,5.944083,0.019587
3,4,5,0.059672,93.324664,0.020446,70.144463,0.001245,6.223999,1.887179,5491.766275,1715.676342,0.143933,752.650839,0.063142,4.87921,19.49159,6.953087,0.010259,0.038884,137.59353,0.018649,73.94058,0.000786,4.500847,2.657203,8379.731227,1720.387026,0.144183,632.712035,0.053026,4.753374,27.35057,7.147023,0.008859,0.107319,52.732842,0.02213,78.617866,0.005483,8.649419,0.7807,4042.919048,1749.771306,0.146633,994.211263,0.083316,4.846279,13.311533,6.548427,0.013366,0.099183,62.107992,0.020198,77.530717,0.004267,8.215225,0.886854,4728.163207,2069.952853,0.17396,908.1327,0.07632,3.812496,16.025814,6.406728,0.015024,0.140673,41.67551,0.020905,76.109731,0.00539,11.726024,0.626056,3043.066997,1919.065318,0.161117,1092.064394,0.091685,4.191186,10.653668,6.113151,0.017826,0.128406,42.591148,0.021828,77.801837,0.005129,10.922701,0.656743,3170.535198,1661.615616,0.138757,1136.795741,0.094931,5.1061,11.377816,6.457342,0.014132,0.165463,31.204024,0.021702,76.852241,0.006856,14.006954,0.475239,2313.829952,1633.027882,0.136324,1301.993405,0.10869,5.056363,7.990757,6.161341,0.017014,0.158843,33.233998,0.020825,77.646833,0.005748,13.141868,0.5052,2468.545272,1627.993074,0.135859,1271.385212,0.106099,5.092206,8.723938,6.229437,0.016109,0.190716,27.024846,0.021901,77.383025,0.007969,16.168374,0.410073,2002.570952,1595.856095,0.133055,1396.126897,0.116402,5.182624,6.988138,6.028228,0.01831
4,5,6,0.05075,89.276644,0.020696,88.525536,0.002352,3.593744,1.329233,8886.764834,4253.364981,0.115609,2469.689951,0.067128,6.589357,18.169178,7.22952,0.0085,0.035878,117.129071,0.018803,97.708966,0.001749,2.554178,1.550328,13201.578428,3997.92278,0.108589,2199.096314,0.05973,7.370439,23.333868,7.448854,0.00731,0.09983,45.493063,0.021946,77.385788,0.004173,8.479981,0.740748,3399.503605,4835.443358,0.132058,3430.220068,0.093681,5.391842,10.196172,6.627325,0.012893,0.10442,44.198234,0.019859,77.061691,0.003863,8.764028,0.67635,3299.494791,5163.696534,0.14158,3448.571781,0.094554,4.609257,10.229715,6.455042,0.014374,0.160018,28.367725,0.021179,77.484311,0.006238,13.596964,0.440299,2102.921785,4750.205287,0.129727,4262.937788,0.11642,5.30927,6.700006,6.156486,0.017106,0.110844,43.771883,0.02157,77.379556,0.004798,9.228046,0.685978,3247.133132,5059.028885,0.138642,3432.151768,0.094057,5.02656,10.576727,6.487689,0.014017,0.156397,31.493948,0.021014,77.323657,0.006182,13.048585,0.478966,2340.682697,5035.37005,0.137902,3963.191324,0.108539,4.957682,7.706889,6.142057,0.017327,0.157684,29.333979,0.021269,77.87179,0.006043,13.356984,0.452312,2195.120323,4685.220178,0.127861,4209.985782,0.114892,5.420998,7.189844,6.216886,0.016402,0.183518,24.818529,0.021221,77.576332,0.007276,15.737678,0.381624,1836.13598,4720.450182,0.128893,4509.646752,0.123137,5.321458,5.879171,6.000913,0.018955
5,6,7,0.06668,73.54552,0.019296,74.517264,0.001863,5.817792,1.354483,4672.039964,2395.605496,0.143107,1226.445042,0.073264,4.822694,16.716979,6.849983,0.011096,0.046618,103.536344,0.019349,73.99791,0.001431,3.993228,1.925697,6513.368393,2384.822732,0.142437,1046.501045,0.062504,4.756387,23.025837,7.084083,0.009505,0.103129,44.482695,0.022332,78.140704,0.004255,8.711516,0.703032,3418.910466,2335.791684,0.139143,1595.470602,0.095042,5.106285,10.260857,6.529471,0.013848,0.117523,41.634376,0.022015,77.977659,0.005106,9.484857,0.630653,3222.632291,2314.764552,0.137907,1625.36473,0.096834,5.114119,10.364392,6.484156,0.013854,0.163871,27.804331,0.020901,77.448688,0.005928,14.014918,0.435598,2046.915046,2179.958177,0.12969,1992.915878,0.118562,5.359911,6.808428,6.179723,0.016879,0.109178,46.473533,0.020402,77.35361,0.004118,9.102498,0.698971,3514.104612,2461.643579,0.147236,1522.736467,0.091078,4.55196,11.583805,6.476929,0.014066,0.153065,33.048705,0.020604,77.083169,0.005917,12.958889,0.498075,2440.924011,2426.416143,0.145181,1772.728236,0.106069,4.631119,8.277938,6.127287,0.017613,0.155373,31.110052,0.021637,77.724393,0.005914,13.296796,0.486543,2294.540972,2243.44283,0.133602,1864.649,0.111044,5.302184,7.848618,6.24842,0.016265,0.182812,27.170614,0.020955,77.489053,0.00695,15.584923,0.409736,2020.440315,2290.974945,0.136669,1949.654537,0.116307,4.995963,6.813361,6.013203,0.018742
6,7,8,0.04769,85.246745,0.021061,78.65885,0.001534,3.769807,1.598653,6515.589747,8339.331579,0.11194,5327.727697,0.071515,6.216583,17.149357,7.295886,0.008199,0.03022,119.209473,0.021036,78.817805,0.000936,2.315998,2.293952,9026.014719,8370.628633,0.112312,4637.394767,0.062222,6.2312,22.105676,7.48477,0.00716,0.102763,42.805519,0.022167,78.22438,0.00433,8.466227,0.686611,3275.428068,9499.905021,0.128641,7227.75065,0.097873,5.479521,9.751117,6.606515,0.012945,0.111141,41.579928,0.021671,77.512954,0.004377,9.234151,0.656779,3105.381502,9818.500034,0.13325,7227.751605,0.09809,5.188299,10.000211,6.521113,0.013636,0.158581,29.392145,0.021513,77.582989,0.006388,13.522029,0.456524,2182.472107,9529.390953,0.129063,8474.18819,0.114772,5.42034,7.150321,6.200865,0.01665,0.117132,38.860114,0.022186,77.601263,0.004811,9.689239,0.617889,2900.723412,9502.579258,0.128756,7572.468748,0.102604,5.424378,9.565213,6.502911,0.013772,0.155128,30.739564,0.021019,77.401296,0.005818,13.213258,0.476977,2270.458467,9686.973184,0.131329,8280.946503,0.112267,5.28111,7.634678,6.213453,0.016587,0.149541,30.315157,0.021336,77.679198,0.005591,12.601034,0.473754,2261.762671,9375.92779,0.126928,8460.805762,0.11454,5.461644,7.484489,6.271937,0.015912,0.183301,25.022379,0.021361,77.692843,0.007228,15.532427,0.384865,1858.355811,9396.61537,0.127136,9153.290191,0.123844,5.453653,6.138762,6.040185,0.018393
7,8,9,0.090462,39.961264,0.021446,78.710104,0.003008,6.939035,0.74203,3189.740271,1218.629597,0.108767,1179.83488,0.105305,6.472242,7.596092,6.761422,0.011773,0.061648,54.457434,0.020844,79.910851,0.00194,4.688458,1.005978,4374.61708,1218.753882,0.108759,1062.684276,0.094832,6.552223,9.60593,6.957764,0.01046,0.127588,29.360459,0.021747,78.531368,0.004482,10.60134,0.51051,2221.013533,1286.054669,0.115259,1339.200215,0.120022,6.074013,5.923337,6.447331,0.014342,0.141022,29.164182,0.022279,78.04868,0.005289,11.786694,0.48624,2222.514281,1314.793964,0.118088,1313.313095,0.117955,5.986361,6.504735,6.418917,0.014434,0.170419,24.182979,0.021361,77.718154,0.006187,14.54112,0.388692,1783.938017,1350.830515,0.121521,1426.969413,0.128371,5.732485,5.603747,6.148326,0.017104,0.129789,33.169131,0.022558,78.16282,0.005367,10.460856,0.526075,2536.141003,1410.008655,0.127119,1238.632348,0.111669,5.483045,7.955912,6.386281,0.01484,0.176218,23.834369,0.021887,77.957849,0.007044,14.8359,0.375691,1775.569666,1378.906512,0.124192,1426.255156,0.128457,5.612123,5.514304,6.088411,0.017883,0.167135,24.077213,0.022012,77.978452,0.006234,13.89624,0.385164,1804.610163,1345.323577,0.120787,1452.766924,0.130433,5.800171,5.592926,6.146206,0.017251,0.199622,21.82025,0.022423,77.596169,0.008462,16.82026,0.34295,1617.769175,1364.971765,0.122738,1479.302491,0.133019,5.75755,5.178751,6.007022,0.018737
8,9,10,0.068945,79.344905,0.017725,74.890068,0.001153,7.335215,1.611306,4568.725276,2690.489232,0.144138,1279.756456,0.068561,5.075475,18.533986,6.832757,0.011291,0.047989,97.211227,0.020379,68.81625,0.000867,4.962604,2.354487,5022.096598,2532.394226,0.135902,1199.858002,0.064391,5.475699,21.674102,7.033318,0.009996,0.108156,47.307438,0.023469,79.417694,0.005695,8.601406,0.715066,3733.945859,2515.86892,0.13433,1702.802125,0.090918,5.407543,11.774279,6.63579,0.012596,0.128551,40.340641,0.022308,78.699086,0.005608,10.464652,0.605807,3126.252526,2546.801101,0.136171,1824.161953,0.097533,5.184255,10.428169,6.455629,0.014001,0.162078,30.543918,0.021234,76.918049,0.006316,13.760347,0.469646,2248.283834,2520.453728,0.134827,2071.614636,0.110817,5.146499,7.641954,6.175462,0.016777,0.127664,43.375394,0.022041,78.178176,0.006039,10.284364,0.641404,3339.083231,2627.363627,0.140538,1758.495694,0.094062,5.045717,11.660333,6.471174,0.013992,0.153996,35.517267,0.020073,76.492516,0.005727,12.975645,0.537529,2587.206511,2715.84807,0.145186,1905.287715,0.101854,4.672645,9.329531,6.187333,0.016753,0.156937,33.44725,0.020493,77.137117,0.006212,13.111944,0.50407,2470.653595,2588.473358,0.13848,1976.293067,0.105729,4.878932,8.737437,6.201396,0.016524,0.176611,31.038605,0.019901,76.700032,0.006294,14.782879,0.460697,2280.311411,2733.472463,0.146159,2022.451396,0.108141,4.525459,8.150091,5.99147,0.019013
9,10,11,0.046395,100.281588,0.020091,78.312726,0.001214,3.999389,2.220123,7103.774168,10104.282814,0.112652,5864.385027,0.065381,6.217585,22.270124,7.439551,0.007631,0.027268,136.319347,0.020072,78.676753,0.000719,2.251165,2.981878,10016.881823,10133.310267,0.1129,5227.80312,0.058245,6.27278,26.254691,7.618002,0.006745,0.103341,45.537137,0.022356,78.174676,0.004539,8.436182,0.715972,3509.312716,11656.433514,0.131276,8369.506324,0.094259,5.4146,10.901235,6.62675,0.012883,0.11296,46.952795,0.020945,77.646053,0.004555,9.327121,0.707532,3548.565908,12255.762272,0.138207,8130.801707,0.09169,4.98589,12.434835,6.550137,0.013302,0.156368,32.639511,0.021183,77.566358,0.006276,13.401793,0.497894,2414.294458,11824.986794,0.133245,9647.837694,0.108713,5.241823,8.522874,6.224875,0.016387,0.115948,43.654425,0.021952,77.911003,0.005071,9.613025,0.668635,3312.498013,11800.735429,0.132857,8543.625356,0.096187,5.283565,11.418064,6.54752,0.013335,0.160578,31.530071,0.021499,77.464607,0.006568,13.679377,0.484858,2325.969376,11746.515751,0.132445,9788.949825,0.110373,5.240098,8.176189,6.203211,0.016613,0.148771,35.371317,0.021349,77.392074,0.005887,12.640455,0.542265,2607.12906,11914.466419,0.134331,9277.735374,0.104603,5.177624,9.456394,6.29,0.015672,0.182855,27.470191,0.021231,77.582108,0.007159,15.63546,0.41936,2023.579405,11651.417667,0.131213,10402.139508,0.117144,5.289026,7.10865,6.050495,0.018257
10,11,12,0.053518,94.899921,0.020188,78.480478,0.002434,3.999732,1.661364,7416.31119,2776.139538,0.115188,1553.169951,0.064444,5.765956,19.190932,7.337012,0.007751,0.03593,125.444876,0.021086,78.429534,0.002036,2.504467,2.273974,9844.82214,2719.543379,0.112461,1416.873294,0.058592,5.999454,23.663796,7.52334,0.006955,0.096693,52.997493,0.021999,77.41588,0.004255,8.170355,0.838953,3994.079983,3325.279482,0.138959,2009.286001,0.083965,5.018751,12.250104,6.693895,0.012265,0.096134,63.409504,0.020223,77.987342,0.004311,7.879629,0.906758,4849.152691,3933.944323,0.165431,1788.44508,0.075208,4.039638,16.097321,6.511341,0.01379,0.141906,40.227042,0.02081,76.601534,0.005991,11.82198,0.60029,2955.592187,3614.907708,0.151511,2233.821996,0.093626,4.507847,10.147157,6.174337,0.016983,0.112868,47.856401,0.021197,76.986896,0.004516,9.393304,0.725739,3568.881897,3450.413464,0.144453,2131.976723,0.089256,4.715543,12.396934,6.482779,0.013785,0.152,36.841082,0.020891,76.809709,0.006105,12.822163,0.550627,2720.672573,3504.249393,0.146781,2365.650582,0.099089,4.608122,9.551684,6.148554,0.017241,0.144377,41.287475,0.020762,76.692824,0.005507,12.27732,0.61937,3020.567907,3603.728203,0.151062,2221.170775,0.093107,4.511218,11.058682,6.213139,0.016574,0.171238,33.430228,0.020393,76.397069,0.00641,14.469655,0.50099,2434.244589,3536.966757,0.148083,2455.309818,0.102797,4.494338,8.746575,6.007701,0.018756
11,12,14,0.093945,100.879565,0.035013,61.404804,0.002167,9.550883,3.230582,5026.996105,1019.77877,0.165522,354.349456,0.057515,5.564298,29.376771,6.913358,0.01033,0.072871,160.837873,0.033731,66.205091,0.001466,7.972499,4.781802,8618.661316,1049.939364,0.170224,283.148184,0.045906,5.59099,48.748553,7.165224,0.008687,0.146368,52.922476,0.021885,78.757655,0.006659,12.102371,0.758425,3987.706515,1060.578827,0.172733,494.19544,0.080488,4.219461,15.401863,6.245179,0.016157,0.122362,75.027719,0.019272,76.881624,0.004287,10.566381,1.13449,5238.098973,1139.950595,0.185872,431.871352,0.070418,3.902171,24.592942,6.426291,0.01432,0.151756,43.629169,0.020781,75.844016,0.006296,12.369623,0.633991,3220.417266,1063.775997,0.173933,549.470569,0.089841,3.782905,12.268437,6.016678,0.018773,0.13039,66.280222,0.019856,75.722395,0.005375,11.137697,0.963211,4792.572714,1173.954687,0.192042,435.44299,0.071232,3.676651,19.059292,6.230144,0.016458,0.1796,32.200065,0.020706,77.836665,0.006655,15.314365,0.475183,2394.290102,919.437185,0.149429,648.972371,0.105473,4.609468,8.729638,6.000641,0.018843,0.173123,37.227354,0.021161,76.954952,0.007474,14.59457,0.548208,2729.032038,951.569198,0.154752,599.703529,0.097529,4.435145,10.547752,6.06886,0.017814,0.194941,28.270546,0.02036,77.408818,0.006309,16.67168,0.422397,2096.084455,858.551953,0.139172,709.723294,0.115047,4.842945,7.8883,6.004709,0.01861
12,13,15,0.112719,44.326958,0.027117,69.614465,0.004425,9.43318,0.984016,2822.278342,592.519426,0.118055,460.061168,0.091664,6.38044,10.537024,6.775407,0.011127,0.071731,74.192285,0.022037,76.002784,0.002559,6.223437,1.353519,5343.249553,623.858222,0.124052,362.317956,0.072046,5.795113,18.086853,7.062781,0.00903,0.168937,25.934053,0.022626,78.108513,0.006891,14.306104,0.416613,1938.581335,641.807354,0.128259,612.553957,0.122413,5.426414,6.131197,6.1612,0.017138,0.132721,43.386656,0.023356,78.646905,0.007678,10.689842,0.639942,3302.859526,764.311897,0.1536,456.067926,0.091654,4.937641,11.478688,6.295295,0.015911,0.17287,31.441212,0.021772,76.326263,0.006222,14.338038,0.485031,2299.699192,745.0,0.150505,528.279596,0.106723,4.467247,8.058615,6.018007,0.018951,0.133705,40.08251,0.018536,78.007262,0.004351,11.750499,0.589559,2976.233206,790.778092,0.159528,471.315917,0.095081,4.027136,9.891287,6.163116,0.017263,0.193829,22.275606,0.021615,76.807978,0.007773,15.982956,0.342929,1649.657046,642.866506,0.128857,661.657446,0.132623,5.202255,5.455579,5.931124,0.019566,0.184571,25.399279,0.023008,76.72527,0.007586,15.494657,0.399289,1877.931117,660.052062,0.132169,606.570284,0.12146,5.205295,6.329986,6.030067,0.018209,0.222084,20.124102,0.021899,76.983839,0.008594,18.364661,0.312666,1496.111931,617.613727,0.123227,685.203113,0.136713,5.548965,4.934016,5.934832,0.01928
