,Num,Dnum,ROIGEnergy,ROIGContrast,ROIGEntropy,ROIGHomogeneity1,ROIGHomogeneity2,ROIGCorrelation,ROIGSumAverage,ROIGVariance,ROIGDissimilarity,ROIGAutoCorrelation,ROIGCorrelation1,LLLGEnergy,LLLGContrast,LLLGEntropy,LLLGHomogeneity1,LLLGHomogeneity2,LLLGCorrelation,LLLGSumAverage,LLLGVariance,LLLGDissimilarity,LLLGAutoCorrelation,LLLGCorrelation1,LLHGEnergy,LLHGContrast,LLHGEntropy,LLHGHomogeneity1,LLHGHomogeneity2,LLHGCorrelation,LLHGSumAverage,LLHGVariance,LLHGDissimilarity,LLHGAutoCorrelation,LLHGCorrelation1,LHLGEnergy,LHLGContrast,LHLGEntropy,LHLGHomogeneity1,LHLGHomogeneity2,LHLGCorrelation,LHLGSumAverage,LHLGVariance,LHLGDissimilarity,LHLGAutoCorrelation,LHLGCorrelation1,LHHGEnergy,LHHGContrast,LHHGEntropy,LHHGHomogeneity1,LHHGHomogeneity2,LHHGCorrelation,LHHGSumAverage,LHHGVariance,LHHGDissimilarity,LHHGAutoCorrelation,LHHGCorrelation1,HLLGEnergy,HLLGContrast,HLLGEntropy,HLLGHomogeneity1,HLLGHomogeneity2,HLLGCorrelation,HLLGSumAverage,HLLGVariance,HLLGDissimilarity,HLLGAutoCorrelation,HLLGCorrelation1,HLHGEnergy,HLHGContrast,HLHGEntropy,HLHGHomogeneity1,HLHGHomogeneity2,HLHGCorrelation,HLHGSumAverage,HLHGVariance,HLHGDissimilarity,HLHGAutoCorrelation,HLHGCorrelation1,HHLGEnergy,HHLGContrast,HHLGEntropy,HHLGHomogeneity1,HHLGHomogeneity2,HHLGCorrelation,HHLGSumAverage,HHLGVariance,HHLGDissimilarity,HHLGAutoCorrelation,HHLGCorrelation1,HHHGEnergy,HHHGContrast,HHHGEntropy,HHHGHomogeneity1,HHHGHomogeneity2,HHHGCorrelation,HHHGSumAverage,HHHGVariance,HHHGDissimilarity,HHHGAutoCorrelation,HHHGCorrelation1
0,1,1,0.005765,11.286512,8.047729,0.415382,0.335316,0.795172,0.017517,0.026881,2.520944,343.645568,420255.825544,0.00488,12.194758,8.183308,0.414821,0.335863,0.818944,0.01989,0.032903,2.576877,442.423969,756528.928636,0.006229,11.717478,7.998289,0.420115,0.342127,0.773179,0.017067,0.025196,2.526986,325.379835,356121.184207,0.003888,37.676295,8.542584,0.324165,0.238903,0.236249,0.015892,0.024082,4.521129,270.641485,324536.569343,0.005316,38.60078,8.338858,0.331257,0.24691,0.118559,0.015873,0.021395,4.410111,266.78457,242909.228908,0.005314,35.996599,8.276156,0.332686,0.246877,0.173691,0.015797,0.021279,4.346277,265.466947,225947.801455,0.003597,42.673065,8.641439,0.292058,0.202325,0.138747,0.01599,0.024179,4.961157,271.513335,321745.191566,0.004516,44.702273,8.455339,0.297572,0.210123,0.012901,0.016103,0.022128,5.04664,272.227002,255399.169637,0.004085,44.84,8.501876,0.28438,0.193733,-0.000818,0.0161,0.02187,5.104815,271.776205,278030.830899
1,2,3,0.006296,9.084517,7.878285,0.448142,0.375438,0.831884,0.016863,0.026383,2.210143,320.655815,400485.414601,0.007369,6.371213,7.662703,0.489046,0.424923,0.883318,0.017165,0.026662,1.840266,333.050261,427876.530627,0.006291,8.88421,7.876652,0.43972,0.364443,0.823291,0.016133,0.024551,2.23308,293.631651,351970.008028,0.004092,39.805826,8.598278,0.31788,0.231631,0.188394,0.016146,0.023948,4.639365,277.975639,305364.729712,0.004601,37.297923,8.481606,0.319055,0.231756,0.177827,0.016125,0.022152,4.47856,276.67887,269801.045479,0.004428,37.753092,8.51982,0.325208,0.239152,0.198478,0.016088,0.022997,4.479596,276.05749,284861.079663,0.004877,36.12339,8.445711,0.320899,0.233433,0.191603,0.016113,0.02182,4.411569,276.507246,256234.854701,0.003882,47.788453,8.637101,0.292444,0.205234,0.01728,0.016131,0.023746,5.218614,273.282574,296162.606696,0.00451,44.576446,8.506615,0.2961,0.207529,0.008245,0.016131,0.021946,4.993136,273.023512,260340.003894
2,3,4,0.003744,21.092299,8.519575,0.343931,0.253328,0.640053,0.016088,0.028599,3.512456,290.129517,439107.979151,0.004598,16.109185,8.215807,0.374751,0.288438,0.678566,0.016167,0.024481,3.043887,291.081665,372852.922357,0.004127,25.760015,8.473714,0.329149,0.237783,0.486981,0.016587,0.024511,3.841221,300.719834,350371.859102,0.003776,55.565704,8.689171,0.272609,0.18423,-0.082464,0.016109,0.025065,5.65763,269.971851,309079.5106,0.004359,47.19553,8.515165,0.280367,0.189245,-0.039381,0.016298,0.022173,5.202048,277.63331,270253.011023,0.004097,52.044703,8.607825,0.278859,0.190376,-0.059482,0.016402,0.023991,5.461474,280.642057,292850.843096,0.004143,47.45141,8.508368,0.27056,0.17833,-0.073142,0.015964,0.02161,5.328327,265.617462,261933.941023,0.003575,51.210164,8.684976,0.27718,0.187663,-0.000314,0.015845,0.025008,5.415623,263.247616,321337.020885,0.004207,46.14442,8.535194,0.281021,0.189688,0.00047,0.016256,0.022528,5.148833,277.092841,277982.398385
3,4,5,0.004628,14.202902,8.207183,0.384299,0.298601,0.734533,0.016914,0.026117,2.866933,319.623626,433990.960039,0.005418,10.688104,7.986135,0.412862,0.331993,0.785856,0.016493,0.024367,2.487341,304.850944,381519.983527,0.004516,20.59015,8.327916,0.348393,0.258202,0.558368,0.016212,0.022763,3.442816,288.596215,321432.024395,0.003752,49.291847,8.604649,0.275586,0.185658,-0.048884,0.016062,0.022947,5.385702,269.361051,299667.434126,0.003858,47.505968,8.578154,0.269931,0.177597,-0.039283,0.016111,0.022318,5.338803,271.279755,284210.79951,0.003932,50.517551,8.59092,0.279107,0.190065,-0.071113,0.016099,0.023034,5.393191,270.09174,290633.960414,0.003964,47.420879,8.537307,0.270248,0.177962,-0.063494,0.016111,0.021775,5.329446,270.748543,279186.10049,0.003745,48.616138,8.635003,0.282246,0.192464,0.006952,0.016033,0.023906,5.26216,269.728544,313342.877586,0.003856,46.822896,8.60529,0.27527,0.183097,0.006307,0.016223,0.023006,5.242985,276.120204,302392.47475
4,5,6,0.007533,11.262469,7.779856,0.43112,0.355634,0.748106,0.016753,0.021828,2.426586,311.009376,279289.477586,0.008317,9.028329,7.629587,0.457648,0.387704,0.796612,0.016571,0.021669,2.158072,305.597037,277142.479387,0.005938,18.831101,8.084541,0.371152,0.285455,0.522358,0.015988,0.019248,3.205995,278.342404,236720.417965,0.004838,40.879753,8.343412,0.298193,0.208575,-0.029052,0.016145,0.019397,4.812329,272.758524,239040.494039,0.004987,42.490804,8.354878,0.290074,0.198821,-0.050688,0.016162,0.019745,4.916346,272.884016,230420.995204,0.005367,41.528317,8.264075,0.303499,0.214815,-0.076054,0.016109,0.018844,4.783253,270.640704,221903.199513,0.004972,43.317438,8.343814,0.288132,0.19687,-0.078471,0.016095,0.019612,4.974561,270.072195,232262.518595,0.004804,40.744383,8.369722,0.302083,0.212461,0.011858,0.016068,0.020135,4.745738,270.958201,250200.066584,0.004719,41.320772,8.405725,0.292259,0.200783,0.008388,0.016131,0.020347,4.844721,273.021001,247702.340386
5,6,7,0.005874,10.779669,8.018754,0.427422,0.350683,0.806871,0.015651,0.027249,2.427802,279.35062,357412.716347,0.006424,8.854303,7.901731,0.44806,0.375229,0.844223,0.015506,0.027753,2.197524,276.104306,353076.638508,0.005914,15.908676,8.071286,0.383653,0.29911,0.632793,0.016523,0.021146,2.969264,299.974634,276031.136459,0.004323,45.20002,8.47964,0.287413,0.197514,-0.03877,0.016104,0.021247,5.088235,271.092475,264409.520512,0.004223,46.70066,8.503732,0.275829,0.184026,-0.065685,0.016126,0.021401,5.243803,271.249052,264922.989824,0.004829,47.017475,8.429521,0.294486,0.206001,-0.077238,0.016103,0.021314,5.083465,270.233688,246497.306935,0.004385,47.106581,8.477742,0.278175,0.186896,-0.08012,0.016122,0.021296,5.22466,270.812166,259068.586704,0.004063,46.773795,8.565778,0.288955,0.199659,0.002165,0.016107,0.022887,5.124672,272.082119,294741.11346,0.004106,45.587305,8.5523,0.281328,0.189812,0.00047,0.01616,0.022269,5.133857,273.842918,282615.131443
6,7,8,0.006593,9.952253,7.859397,0.438632,0.364049,0.80236,0.016361,0.024587,2.311873,300.88931,334223.672898,0.007957,7.092073,7.60378,0.479829,0.414175,0.853614,0.016452,0.023656,1.927158,304.478755,329269.82751,0.00489,19.148137,8.288298,0.360888,0.273106,0.589876,0.016095,0.022799,3.297575,285.400948,303827.408272,0.004204,40.598633,8.539658,0.300154,0.210672,0.111641,0.016081,0.022316,4.780567,273.716215,278069.598426,0.004464,43.604276,8.466287,0.286131,0.194825,-0.012183,0.016124,0.021034,5.011156,272.341636,253577.311139,0.00458,41.363061,8.448332,0.303094,0.214492,0.041676,0.016074,0.021076,4.783611,271.816444,256623.087164,0.00434,44.206063,8.495265,0.284521,0.19327,-0.008414,0.016135,0.021405,5.053074,272.812358,260708.604899,0.003977,47.257917,8.593098,0.284431,0.194716,-0.006467,0.016116,0.022927,5.198903,272.17959,291321.503535,0.004299,44.596849,8.513422,0.283137,0.191578,-0.003012,0.016111,0.021711,5.077829,272.089924,264595.844341
7,8,9,0.005415,10.479488,8.058074,0.449458,0.378321,0.87278,0.017931,0.040227,2.309095,373.088062,808172.393254,0.006151,8.150722,7.875738,0.478388,0.412808,0.901296,0.018531,0.040326,2.020926,397.304688,827554.135053,0.005277,20.273596,8.282698,0.368958,0.284249,0.566781,0.016119,0.022845,3.314636,285.712247,291851.814802,0.006536,37.735441,8.126994,0.325078,0.239445,-0.041932,0.01601,0.017684,4.45829,268.007384,192300.622462,0.005445,43.553047,8.337255,0.299887,0.21103,-0.058372,0.016151,0.020092,4.882013,272.315001,221576.132831,0.005874,40.7802,8.203834,0.311608,0.223903,-0.075464,0.016136,0.018514,4.67642,271.587367,209016.545081,0.005049,44.517671,8.377859,0.291416,0.200909,-0.066477,0.016095,0.020382,4.981674,270.23713,232403.241436,0.00493,43.395923,8.42016,0.303899,0.216052,0.000201,0.016122,0.021192,4.854479,272.559037,251954.086693,0.005003,43.449042,8.429594,0.29814,0.208824,0.000397,0.016094,0.021221,4.891008,271.618483,242642.445906
8,9,10,0.006322,14.337549,7.933941,0.409562,0.330423,0.707545,0.018163,0.023935,2.728211,363.269583,367928.946922,0.006398,12.131709,7.889614,0.425373,0.348771,0.764652,0.018232,0.02517,2.510787,368.267938,409723.536312,0.005719,18.344145,8.17108,0.380477,0.296967,0.591151,0.015822,0.021909,3.113699,275.771449,268071.85636,0.004621,45.545627,8.42793,0.290092,0.200755,-0.073307,0.016098,0.020721,5.078088,270.170133,249330.462496,0.005117,40.928612,8.288685,0.292573,0.201369,-0.067682,0.016127,0.018718,4.839946,271.406972,224680.296083,0.004665,43.822095,8.401236,0.292611,0.203354,-0.055549,0.016115,0.020273,4.993279,271.157609,249094.868988,0.004816,42.479285,8.3751,0.289534,0.198343,-0.04337,0.016141,0.019879,4.932958,272.308278,240272.160579,0.00425,45.503711,8.516965,0.292549,0.203405,-0.002539,0.016091,0.022163,5.039458,271.457238,282499.939296,0.004352,43.733429,8.487037,0.286848,0.195506,0.00153,0.016175,0.021387,5.002694,274.368852,269491.611799
9,10,11,0.00917,9.889835,7.58922,0.459059,0.390069,0.772239,0.016383,0.021199,2.195157,298.199959,240307.040276,0.00995,7.905837,7.459824,0.487936,0.425272,0.822384,0.016445,0.021734,1.938897,301.882049,257478.993344,0.00818,18.215867,7.840022,0.387723,0.305655,0.4792,0.016198,0.017078,3.055041,283.513457,184382.767544,0.0051,40.380032,8.310009,0.300312,0.210673,-0.030677,0.016107,0.01913,4.762283,271.442067,227657.725333,0.005529,38.093345,8.19754,0.297967,0.206367,-0.052619,0.016099,0.01767,4.661709,270.825122,206847.763893,0.00564,39.375454,8.18021,0.305434,0.216251,-0.081001,0.016073,0.017786,4.672884,269.42807,210857.835412,0.005656,40.001991,8.214488,0.299169,0.208374,-0.070752,0.016121,0.018241,4.722539,271.199719,208882.945419,0.004664,41.925357,8.405675,0.30079,0.211531,0.006386,0.016115,0.020603,4.810821,272.445629,258445.186683,0.005354,37.362726,8.249275,0.30358,0.212551,0.007745,0.016115,0.018386,4.573533,272.452829,221816.059834
10,11,12,0.007582,13.533158,7.807803,0.421307,0.345149,0.659706,0.016607,0.019418,2.623068,302.300304,251137.3878,0.008105,11.536935,7.70952,0.440093,0.367278,0.713431,0.016603,0.019655,2.411836,303.396399,255137.478105,0.007812,16.875012,7.883379,0.402274,0.323654,0.547025,0.01617,0.018186,2.914224,284.343782,205674.976595,0.00579,39.139711,8.206521,0.31232,0.224193,-0.038276,0.016133,0.018408,4.5997,272.197484,210436.355376,0.005691,39.055495,8.226338,0.303983,0.213991,-0.035231,0.016112,0.018419,4.654744,271.526611,207843.943151,0.006285,37.880593,8.11041,0.316704,0.229065,-0.058309,0.016142,0.017478,4.517453,272.182834,196035.971344,0.00552,42.194973,8.2904,0.299377,0.209607,-0.059371,0.016072,0.019448,4.816657,269.665303,216630.941295,0.005572,39.346162,8.269496,0.316891,0.229579,0.014944,0.016116,0.019505,4.557564,272.653428,227673.744224,0.005274,39.491903,8.307818,0.3036,0.213439,0.008323,0.016163,0.019443,4.662696,274.098146,230085.230963
11,12,14,0.005581,13.927417,8.068012,0.407597,0.327786,0.714932,0.016162,0.023853,2.698217,291.355011,348078.086516,0.005895,13.001231,7.990737,0.416698,0.338542,0.726216,0.016313,0.023179,2.596732,296.283418,337952.244625,0.005508,13.583341,8.103795,0.402626,0.321311,0.733929,0.016298,0.024922,2.720754,297.270365,365388.006352,0.004132,46.280702,8.5191,0.28892,0.199769,-0.024541,0.016021,0.022056,5.135128,268.584355,275238.249042,0.003922,45.80124,8.543471,0.274866,0.1827,-0.012775,0.016233,0.022087,5.218993,276.041049,287007.740783,0.003691,48.23052,8.598637,0.275162,0.185186,-0.024821,0.016039,0.022976,5.368405,269.159163,301912.897025,0.003471,52.128044,8.660942,0.261564,0.169966,-0.072626,0.016129,0.023729,5.625959,271.024628,320976.636222,0.003457,52.204549,8.719154,0.276162,0.186974,-9e-06,0.016249,0.025485,5.478272,276.854014,349503.619687,0.003518,50.660292,8.699601,0.269737,0.178123,0.002775,0.016015,0.024796,5.447895,268.98482,325097.059721
12,13,15,0.007777,16.353787,7.888555,0.41223,0.335843,0.660963,0.01795,0.023551,2.835341,353.80052,287616.25833,0.006736,16.512575,8.065008,0.413199,0.337051,0.714519,0.01955,0.028228,2.85061,421.42046,424024.114192,0.004974,23.123374,8.328154,0.348629,0.260385,0.498665,0.016059,0.022521,3.581644,281.913849,279629.004759,0.005056,41.110945,8.396859,0.308739,0.220903,0.043576,0.016085,0.020991,4.707372,272.22079,239529.185473,0.005177,44.910494,8.361746,0.292784,0.202782,-0.071133,0.016195,0.020465,4.98909,273.533999,228571.609917,0.004934,45.475824,8.425577,0.301226,0.212912,-0.025114,0.016057,0.021665,4.938055,269.811328,246688.775824,0.004438,47.728845,8.512317,0.279806,0.188867,-0.052989,0.016139,0.022132,5.235691,271.902529,259020.458689,0.004277,48.444369,8.572455,0.286315,0.196644,-0.013059,0.016163,0.023349,5.189935,273.63682,280035.13591,0.004093,47.880101,8.592283,0.279787,0.188671,-0.004219,0.016045,0.02329,5.230118,269.859617,281447.710727
13,14,16,0.007172,11.856118,7.908434,0.419962,0.341835,0.762193,0.017246,0.024346,2.523799,330.891585,307299.281489,0.007934,9.392895,7.748526,0.444197,0.370693,0.804944,0.017041,0.02352,2.251506,323.880676,296493.7607,0.004818,20.454525,8.292362,0.357553,0.269822,0.555106,0.016115,0.022437,3.383884,285.045234,304279.51329,0.005221,39.499882,8.271822,0.305937,0.216879,-0.018706,0.016146,0.018932,4.678017,272.992385,224578.498608,0.004317,46.062461,8.477869,0.281471,0.190235,-0.060046,0.016119,0.02122,5.156632,271.135091,259748.576277,0.004301,47.825342,8.508109,0.287679,0.199352,-0.062429,0.016145,0.021981,5.223703,271.923103,273933.665803,0.00463,46.676267,8.447778,0.281319,0.190334,-0.077334,0.016269,0.021159,5.180867,275.876406,252936.274083,0.004246,44.618414,8.491765,0.290539,0.200787,0.00097,0.016047,0.021796,5.024573,270.033045,276063.291494,0.004071,46.836357,8.584111,0.280262,0.188844,0.006004,0.016063,0.022997,5.190672,270.679152,285592.177546
14,15,17,0.010699,14.162135,7.641377,0.441713,0.371839,0.730834,0.020563,0.025668,2.543737,462.562241,325875.567068,0.009942,12.934366,7.721454,0.456796,0.390032,0.785136,0.021224,0.029395,2.418986,495.991562,442721.028263,0.00675,15.959775,7.943884,0.396048,0.314795,0.589489,0.015941,0.018986,2.887084,277.93005,230799.007097,0.005786,35.284735,8.148075,0.314489,0.225128,0.017596,0.016113,0.017532,4.414278,272.554082,202947.069495,0.005699,35.866263,8.168461,0.304889,0.21345,0.005481,0.016129,0.017612,4.49797,272.869179,202403.186213,0.00622,38.68804,8.123216,0.315337,0.227229,-0.053624,0.016083,0.017933,4.536494,270.232218,195094.558331,0.005259,39.382036,8.257122,0.29455,0.203088,-0.037148,0.016097,0.018539,4.759194,270.994271,217815.933354,0.00696,34.205339,8.008309,0.330369,0.243132,0.006238,0.016143,0.016813,4.197697,273.354636,186757.359512,0.005446,37.124807,8.220296,0.303447,0.212297,0.000583,0.016094,0.018144,4.563358,271.621765,215377.544522
15,16,18,0.004698,16.522021,8.220649,0.383239,0.29942,0.672624,0.016217,0.024641,3.020759,292.742285,373322.969001,0.005028,13.423204,8.106495,0.403598,0.322709,0.734789,0.016245,0.02471,2.720008,295.299926,385260.865625,0.005063,21.27695,8.276713,0.357415,0.269992,0.527269,0.016209,0.021975,3.423137,287.37015,286622.480799,0.004094,46.328609,8.560751,0.290369,0.201806,-0.006158,0.016047,0.022484,5.125003,269.861344,279655.295988,0.004441,43.335234,8.463796,0.285924,0.194536,-0.009304,0.016171,0.020965,5.003978,273.98783,256179.017824,0.004831,43.708279,8.424741,0.302392,0.214278,-0.011913,0.016076,0.021092,4.873647,270.733276,246168.516787,0.004988,43.462957,8.377885,0.294007,0.203845,-0.047168,0.016146,0.020267,4.925672,272.393942,236608.416126,0.004167,46.527889,8.564409,0.292884,0.204173,0.012833,0.01611,0.023012,5.079131,272.434643,289081.692391,0.004431,44.299159,8.491575,0.286977,0.195764,-0.000303,0.016119,0.021624,5.01724,272.452873,262905.804904
16,17,19,0.004632,15.251885,8.189043,0.391822,0.309219,0.715657,0.016345,0.026193,2.887054,299.341874,419727.888096,0.004878,13.183914,8.12858,0.404359,0.323289,0.755573,0.016654,0.026335,2.692246,311.215802,438088.160694,0.004263,19.375064,8.369577,0.358887,0.270677,0.61805,0.016016,0.024767,3.319051,284.634034,363744.665605,0.004472,47.726716,8.502868,0.290055,0.201801,-0.063571,0.016108,0.021915,5.185264,270.65185,263230.177752,0.004502,47.218343,8.484498,0.282543,0.19222,-0.073489,0.016112,0.02148,5.205604,270.598243,254970.482408,0.004388,46.142982,8.497367,0.289264,0.200333,-0.037108,0.016131,0.021722,5.117037,272.018673,266292.321801,0.004141,47.845706,8.553339,0.276664,0.185358,-0.047989,0.016134,0.022295,5.278362,271.852423,274849.088648,0.004107,46.513759,8.560064,0.291175,0.202339,0.005345,0.016078,0.022834,5.099473,271.185521,291684.032996,0.004582,44.549585,8.484579,0.288951,0.198386,-0.001243,0.016066,0.021728,5.01026,270.622092,256484.137366
